Age,Male,Female
0,428026.19,409496.76
1,433858.08,415737.74
2,438696.44,420429.03
3,438915.65,422049.84
4,430498.03,414274.65
5,425008.15,408449.75
6,426122.66,410003.46
7,422109.34,406569.28
8,424604.95,409330.62
9,418995.63,404102.62
10,419630.09,404589.99
11,417865.27,402957.39
12,419856.11,404856.20
13,417862.50,402980.84
14,420843.28,405654.47
15,423398.13,407987.50
16,430432.33,414478.67
17,441117.71,423997.32
18,444045.96,425798.94
19,441352.81,421927.15
20,432870.25,412114.76
21,371724.65,352685.61
22,317778.60,300672.82
23,318473.69,300286.01
24,306385.53,288222.19
25,287933.28,270418.02
26,264883.62,248465.42
27,307227.29,288128.41
28,308770.25,290313.19
29,311202.73,294399.04
30,314996.28,299537.78
31,317451.17,303279.79
32,325639.26,312016.91
33,330490.17,317265.44
34,336759.86,323624.18
35,344504.17,331400.12
36,351555.66,338389.70
37,345574.88,333316.58
38,339938.11,329383.00
39,340077.65,331664.10
40,336993.81,331179.00
41,335023.22,331989.70
42,332881.29,332250.82
43,326120.65,327663.24
44,325545.73,329214.54
45,332132.23,338016.59
46,339067.12,346084.09
47,290622.42,297916.09
48,181999.24,188276.31
49,172747.82,179999.39
50,156142.06,163830.71
51,152410.85,160727.45
52,249174.06,264370.86
53,279970.79,298021.56
54,283147.79,302613.30
55,270825.86,290807.39
56,270409.97,291940.01
57,272147.36,296112.96
58,269553.39,295738.35
59,261318.67,289798.90
60,256099.30,287089.37
61,251553.00,284778.97
62,246704.27,283056.75
63,238141.50,277556.62
64,232624.85,275917.33
65,225559.46,273325.32
66,211890.84,264304.51
67,197933.28,255603.08
68,180843.93,243847.37
69,167251.26,238861.81
70,153082.75,233130.18
71,133782.24,216915.46
72,120237.59,206102.88
73,111721.81,199733.80
74,101636.48,186649.61
75,93543.55,174154.12
76,86118.06,163433.64
77,80091.73,155463.09
78,73325.45,145479.19
79,65962.85,133899.15
80,57975.05,118737.20
81,51122.97,107469.58
82,44265.68,96141.78
83,37094.43,83348.00
84,31004.40,72420.52
85,25747.01,61804.98
86,20495.19,50215.93
87,16546.59,41521.41
88,12907.27,33221.29
89,10008.87,26458.22
90,7442.83,20349.07
91,5309.86,15295.19
92,3705.92,11097.67
93,2402.13,7717.01
94,1581.56,5547.80
95,947.72,3375.14
96,637.26,2227.33
97,400.94,1457.74
98,215.17,811.08
99,117.18,488.08
100,115.35,640.11
