x,population,within_counties,within_states,between_states,lx
1,16207,2086,521,400,99394
5,20416,1993,496,332,99298
10,20605,1612,403,308,99230
15,21239,1624,474,289,99159
20,21878,3486,957,732,98917
25,20893,3204,912,795,98493
30,20326,2341,674,522,98017
35,19140,1657,434,377,97465
40,20787,1237,420,270,96784
45,21583,1139,341,249,95816
50,22372,1004,345,249,94218
55,20470,729,276,153,91975
60,17501,557,186,148,88746
65,13599,259,146,78,84368
70,9784,230,92,56,78184
75,7331,113,48,49,69513
80,5786,119,17,23,57493
85,5006,102,41,28,41733
