x,n,Country,Population,Deaths
0,1,Sweden,59727,279
1,4,Sweden,229775,42
5,5,Sweden,245172,31
10,5,Sweden,240110,33
15,5,Sweden,264957,61
20,5,Sweden,287176,87
25,5,Sweden,311111,98
30,5,Sweden,280991,140
35,5,Sweden,286899,197
40,5,Sweden,308238,362
45,5,Sweden,320172,643
50,5,Sweden,242230,738
55,5,Sweden,210785,972
60,5,Sweden,216058,1640
65,5,Sweden,224479,2752
70,5,Sweden,222578,4509
75,5,Sweden,184102,6745
80,5,Sweden,140667,9587
85,,Sweden,110242,17340
0,1,Kazakhstan,174078,3720
1,4,Kazakhstan,754758,1220
5,5,Kazakhstan,879129,396
10,5,Kazakhstan,808510,298
15,5,Kazakhstan,720161,561
20,5,Kazakhstan,622988,673
25,5,Kazakhstan,733057,752
30,5,Kazakhstan,732312,965
35,5,Kazakhstan,612825,1113
40,5,Kazakhstan,487996,1405
45,5,Kazakhstan,284799,1226
50,5,Kazakhstan,503608,2878
55,5,Kazakhstan,301879,3266
60,5,Kazakhstan,374317,5212
65,5,Kazakhstan,256247,6866
70,5,Kazakhstan,154623,6182
75,5,Kazakhstan,149917,8199
80,5,Kazakhstan,88716,9013
85,,Kazakhstan,58940,10627
