x,n,nax,nqx,lx,ndx,nLx,Tx,ex
0,1,0.12,0.0245,100000,2450,97844,,70.1
1,4,0.4,0.00371,97550,362,389331.2,6912522.6,70.86
5,5,0.5,0.00218,97188,212,485410,6523191.4,67.12
10,5,0.5,0.00203,96976,197,484387.5,6037781.4,62.26
15,5,0.5,0.00474,96779,459,482747.5,5553393.9,57.38
20,5,0.5,0.00634,96320,611,480072.5,,52.64
25,5,0.5,0.0067,95709,641,476942.5,4590573.9,47.96
30,5,0.5,0.00844,95068,802,473335,4113631.4,
35,5,0.5,0.01208,94266,,468482.5,3640296.4,38.62
40,5,0.5,0.01832,93127,1706,461370,3171813.9,34.06
45,5,0.5,0.02856,91421,2611,450577.5,2710443.9,29.65
50,5,0.5,0.04474,,3973,434117.5,2259866.4,25.45
55,5,0.5,0.06711,84837,5693,,1825748.9,21.52
60,5,0.5,,79144,7761,376317.5,1415796.4,17.89
65,5,0.5,0.14719,71383,10507,330647.5,1039478.9,14.56
70,5,0.5,0.20479,60876,12467,273212.5,708831.4,11.64
75,5,0.5,0.29183,48409,14127,206727.5,435618.9,9
80,5,0.5,0.4199,34282,14395,135422.5,228891.4,6.68
85,,,1,19887,19887,93468.9,93468.9,4.7
