"Year","x","nWx","nNx_total","nLx","B"
1933,0,971181.32,1975035.71,96130,NA
1933,1,1005773.86,2034700.7,94374,NA
1933,2,1077549.59,2178069.35,93767,NA
1933,3,1101794,2229949.34,93444,NA
1933,4,1118327.09,2274433.95,93206,NA
1933,5,1155442.55,2368432.96,93016,NA
1933,6,1179393.29,2411105.29,92853,NA
1933,7,1196259.9,2436693.95,92709,NA
1933,8,1213611.31,2462997.15,92579,NA
1933,9,1227038.15,2480958.53,92463,NA
1933,10,1236716.17,2494397.9,92357,NA
1933,11,1246816.41,2511742.15,92258,NA
1933,12,1237992,2492852.42,92158,46.85
1933,13,1216487.07,2446315.05,92052,531.69
1933,14,1197058.1,2402833.41,91932,2120.63
1933,15,1182135.76,2368786.12,91794,7945.19
1933,16,1173010.92,2346014.14,91634,21998.16
1933,17,1168279.78,2331751.36,91452,44931.04
1933,18,1164102.04,2318823.74,91250,76672.49
1933,19,1158501.89,2303377.72,91027,101004.36
1933,20,1150966.11,2284164.85,90784,116658.52
1933,21,1140890.65,2259887.01,90522,121380.3
1933,22,1128567.59,2231273.83,90244,128076.99
1933,23,1115220.55,2200946.21,89953,131426.38
1933,24,1101246.21,2170062.95,89652,126384.51
1933,25,1085512.98,2137267.15,89345,123613.47
1933,26,1067247.7,2101645.45,89033,116037.22
1933,27,1047143.96,2064161.25,88716,105951.69
1933,28,1026540.44,2026573.84,88394,105564.03
1933,29,1006095.68,1989738.98,88066,91491.28
1933,30,986088.03,1953918.01,87734,88836.5
1933,31,966775.97,1919365.89,87396,67101.97
1933,32,948038.58,1885955.19,87048,74073.1
1933,33,929037.77,1852304.15,86686,70736.73
1933,34,910424.36,1819798.11,86308,54745.85
1933,35,896154.55,1796348.17,85909,53854.13
1933,36,889404.66,1788292.45,85492,48169.48
1933,37,888491.11,1792126.39,85062,42181.33
1933,38,889694.74,1800179.02,84621,42303.99
1933,39,889792.6,1805886.85,84174,33137.26
1933,40,883394.69,1798650.83,83719,27194.51
1933,41,866011.89,1769632.87,83251,17031.36
1933,42,839715.74,1722843.31,82764,15764
1933,43,810068.61,1669183.39,82250,10395.11
1933,44,780283.3,1614740.78,81705,6307.29
1933,45,752576.72,1563104.57,81124,3956.36
1933,46,728735.59,1517127.87,80506,1785.12
1933,47,707847.45,1475219.76,79851,897.79
1933,48,687336.78,1433065.1,79157,554.58
1933,49,666255.53,1389288.31,78421,247.99
1933,50,645113.02,1345200.55,77641,56.62
1933,51,624381.29,1302007.98,76814,16.78
1933,52,604183.77,1259881.06,75945,16.77
1933,53,584526.65,1218587.93,75036,18.87
1933,54,565069.05,1177332.86,74090,13.64
1933,55,544855.8,1134163.52,73109,0
1933,56,523168.37,1087666.13,72085,NA
1933,57,500366.98,1038693.94,71004,NA
1933,58,477261.85,989003.99,69850,NA
1933,59,454450.15,939901.57,68607,NA
1933,60,432831.11,893447.04,67263,NA
1933,61,412996.8,851054.15,65816,NA
1933,62,394464.79,811702.79,64278,NA
1933,63,376448.08,773543.68,62660,NA
1933,64,358587.68,735636.59,60973,NA
1933,65,340237.65,696575.27,59224,NA
1933,66,320835.56,655158.07,57405,NA
1933,67,300755.95,612170.03,55496,NA
1933,68,280642.25,569109.61,53475,NA
1933,69,260882.48,526948.3,51322,NA
1933,70,242066.04,487089.31,49022,NA
1933,71,224706.77,450739.8,46588,NA
1933,72,208625.34,417433.4,44054,NA
1933,73,193272.84,385801.25,41457,NA
1933,74,179029.55,356374.67,38836,NA
1933,75,166314.08,329762.62,36236,NA
1933,76,148739.93,293406.27,33645,NA
1933,77,131592.93,258026.76,31029,NA
1933,78,115249.2,224441.09,28396,NA
1933,79,100166.26,193533.74,25759,NA
1933,80,89031.55,168357.67,23179,NA
1933,81,76606.46,143463.54,20682,NA
1933,82,65580.3,121588.06,18267,NA
1933,83,55684.79,102182.49,15965,NA
1933,84,46694.77,84813.69,13802,NA
1933,85,38597.44,69388.11,11798,NA
1933,86,31456.08,55966.74,9964,NA
1933,87,25254.41,44459.13,8301,NA
1933,88,20010.91,34812.49,6812,NA
1933,89,15654.42,26879.28,5504,NA
1933,90,12078.91,20459.06,4379,NA
1933,91,9242.38,15431.65,3435,NA
1933,92,6998.32,11524.81,2659,NA
1933,93,5224.45,8512.02,2036,NA
1933,94,3855.17,6224.16,1545,NA
1933,95,2825.06,4506.07,1155,NA
1933,96,2063.55,3243.6,847,NA
1933,97,1512.04,2349.35,609,NA
1933,98,1135.39,1768.73,430,NA
1933,99,884.87,1382.88,298,NA
1933,100,660.96,1022.15,203,NA
1933,101,455.51,699.99,135,NA
1933,102,309.4,473.35,88,NA
1933,103,207.16,314.69,56,NA
1933,104,137.22,206.66,35,NA
1933,105,89.36,133.78,22,NA
1933,106,56.92,85.06,13,NA
1933,107,35.89,53.69,8,NA
1933,108,22.82,33.45,4,NA
1933,109,14.09,20.14,2,NA
1933,110,15.77,22.03,3,NA
1934,0,934954.71,1903165.69,95847,NA
1934,1,958064.89,1938861.56,93765,NA
1934,2,1042978.68,2106591.38,93090,NA
1934,3,1083175.73,2191410.77,92741,NA
1934,4,1100191.41,2226344.54,92499,NA
1934,5,1135816.86,2319833.43,92310,NA
1934,6,1154647.91,2363796.98,92147,NA
1934,7,1178053.53,2405740.72,92002,NA
1934,8,1195374.59,2432708.3,91871,NA
1934,9,1212889.07,2459583.16,91752,NA
1934,10,1226133.87,2477808.2,91643,NA
1934,11,1237105.68,2493883.6,91539,NA
1934,12,1245486.97,2507377.98,91436,19.23
1934,13,1235983.2,2485860.3,91328,499.01
1934,14,1215400.11,2440157.95,91208,2407.03
1934,15,1196378.17,2396707.52,91070,8551.16
1934,16,1181440.33,2361907.19,90913,23524.88
1934,17,1172126.47,2338583.03,90734,47615.43
1934,18,1167072.14,2324123.28,90536,81196.11
1934,19,1162536.83,2311180.34,90319,106433.28
1934,20,1156605.63,2295794.9,90082,124318.63
1934,21,1148605.39,2276422.56,89827,129751.23
1934,22,1137802.13,2251544.81,89556,134340.94
1934,23,1124537.35,2221948.53,89272,135326.53
1934,24,1110204.24,2190593.51,88979,135536.47
1934,25,1095198.11,2158667.58,88678,126337.93
1934,26,1078705.68,2125195.23,88371,122962.16
1934,27,1060377.16,2089838.92,88059,111203.27
1934,28,1040937.98,2053599.33,87742,109865.69
1934,29,1021282.41,2017607.02,87421,96847.4
1934,30,1001804.38,1982341.77,87095,93469.03
1934,31,982651.36,1947888.07,86764,71133.15
1934,32,963862.57,1914197.06,86425,72687.66
1934,33,945233.38,1880993.79,86074,66103.2
1934,34,926143.92,1847215.01,85708,67125.94
1934,35,907503.84,1814662.63,85324,51512.96
1934,36,893026.41,1790776.59,84920,48235.8
1934,37,885604.31,1781301.42,84500,41357.08
1934,38,883560.99,1782766.77,84066,42138.69
1934,39,883483.44,1788098.49,83621,33152.62
1934,40,882202.54,1790869.42,83167,26681.97
1934,41,874699.9,1781245.91,82700,17174.08
1934,42,857032.14,1751504.38,82216,16064.9
1934,43,831313.2,1705721.19,81709,10266.47
1934,44,802536.26,1653676.44,81172,6333.72
1934,45,773705.99,1600973.82,80602,3795.69
1934,46,746691.47,1550566.76,79997,1806.64
1934,47,722850.65,1504363.51,79351,884.14
1934,48,701213.44,1460677.88,78664,608.44
1934,49,679702.72,1416226.83,77930,253.95
1934,50,657639.61,1370196.71,77144,74.27
1934,51,635655.23,1324132.33,76306,15.48
1934,52,614478.64,1279682.3,75421,12.38
1934,53,594265.29,1237118.87,74495,5.16
1934,54,574774.35,1195747.59,73535,6.18
1934,55,555459.02,1154370.29,72547,0
1934,56,535480.75,1111332.53,71525,NA
1934,57,514254.34,1065557.29,70456,NA
1934,58,492086.45,1017797.06,69319,NA
1934,59,469648.96,969446.16,68097,NA
1934,60,447525.07,921756,66772,NA
1934,61,426388.14,876334.29,65340,NA
1934,62,406478.91,833891.42,63809,NA
1934,63,387291.85,793370.77,62193,NA
1934,64,368409.38,753664.11,60503,NA
1934,65,349685.21,714221.95,58748,NA
1934,66,330539.89,673757.14,56925,NA
1934,67,310575.46,631374.62,55019,NA
1934,68,290199.79,587917.86,53009,NA
1934,69,269862.08,544536.04,50875,NA
1934,70,249862.52,502014.06,48601,NA
1934,71,230818.69,461815.5,46192,NA
1934,72,213275.37,425205.98,43673,NA
1934,73,197074.82,391768.97,41080,NA
1934,74,181672.36,360147.84,38446,NA
1934,75,171883.75,339471.79,35840,NA
1934,76,154317.91,303491.12,33258,NA
1934,77,137070.71,268105.86,30652,NA
1934,78,120322.75,233850.73,28030,NA
1934,79,104448.64,201539.48,25402,NA
1934,80,92756.95,175423.9,22829,NA
1934,81,79345.54,148656.97,20337,NA
1934,82,67549.94,125272.59,17919,NA
1934,83,57210.43,104977.49,15615,NA
1934,84,48058.72,87222.91,13462,NA
1934,85,39842.92,71520.63,11483,NA
1934,86,32567.73,57832.67,9687,NA
1934,87,26192.87,46010.64,8070,NA
1934,88,20715.05,35996.4,6625,NA
1934,89,16152.76,27737.18,5352,NA
1934,90,12418.44,21055.66,4251,NA
1934,91,9442.4,15815.7,3319,NA
1934,92,7122.94,11786.79,2550,NA
1934,93,5329.25,8725.44,1934,NA
1934,94,3939.06,6405.11,1451,NA
1934,95,2882.53,4652.76,1075,NA
1934,96,2117.1,3370.74,781,NA
1934,97,1557.99,2437.23,558,NA
1934,98,1154.99,1783.17,390,NA
1934,99,873.02,1354.01,268,NA
1934,100,649.72,1005.45,180,NA
1934,101,460.87,698.89,119,NA
1934,102,313.13,470.81,77,NA
1934,103,209.59,313.1,48,NA
1934,104,138.24,204.22,30,NA
1934,105,90.35,131.57,18,NA
1934,106,57.98,83.48,11,NA
1934,107,36.23,51.84,6,NA
1934,108,22.46,32.07,4,NA
1934,109,14.24,19.59,2,NA
1934,110,16.96,21.53,2,NA
1935,0,959215.64,1955025.04,96161,NA
1935,1,928251.97,1879171.61,94456,NA
1935,2,1014781.51,2049830.45,93886,NA
1935,3,1051571.18,2126538.23,93580,NA
1935,4,1081696.69,2187956.34,93343,NA
1935,5,1123038.88,2285506.82,93144,NA
1935,6,1133824.64,2313533.54,92976,NA
1935,7,1154018.63,2358960.81,92830,NA
1935,8,1177338.02,2400986.4,92703,NA
1935,9,1194819.6,2428925.97,92588,NA
1935,10,1212435.2,2456485.49,92481,NA
1935,11,1226105.06,2476072.67,92379,NA
1935,12,1237111.73,2492143.67,92275,29.3
1935,13,1243972.71,2501601.42,92165,547.63
1935,14,1234056.17,2477788.83,92044,2583.55
1935,15,1214443.01,2432744.11,91905,9377.67
1935,16,1195884.35,2389192.38,91747,24466.22
1935,17,1180925.93,2353675.88,91568,48509.93
1935,18,1171398.47,2329975.15,91370,81448.61
1935,19,1166019.21,2315553.42,91154,107126.2
1935,20,1161119.45,2302821.21,90920,125238.87
1935,21,1154735.03,2287485.99,90669,131887
1935,22,1146089.11,2267873.89,90405,136551.32
1935,23,1134333.71,2242223.82,90127,136366.57
1935,24,1119889.48,2211481.26,89839,131902.49
1935,25,1104256.87,2178823.35,89541,128712.56
1935,26,1088047.36,2145711.2,89236,118987.82
1935,27,1070877.31,2111770.76,88924,112513.33
1935,28,1052781.93,2077178.38,88607,109604.34
1935,29,1034334.54,2042714.24,88287,95944.77
1935,30,1015932.01,2008807.33,87963,93588.01
1935,31,997676.75,1975541.03,87636,71683.27
1935,32,979495.99,1942673.93,87302,72366.59
1935,33,961193.16,1909808.18,86955,60959.2
1935,34,942605.11,1876731.58,86592,59724.23
1935,35,923473.53,1842927.41,86209,59965.31
1935,36,904747.85,1810240.79,85803,44534.77
1935,37,889848.54,1785477.05,85376,39415.62
1935,38,881404.68,1773882.43,84933,39498.08
1935,39,877883.64,1772242.63,84479,31361.09
1935,40,876099.19,1773977.44,84017,25725.3
1935,41,873152.71,1773248.18,83547,16230.39
1935,42,864574.99,1761312.76,83064,15253.31
1935,43,846919.33,1731435.68,82562,9860.54
1935,44,822069.33,1687274.35,82032,5925.07
1935,45,794530.3,1637531.18,81467,3677.8
1935,46,766851.74,1587001.32,80862,1702.29
1935,47,740488.87,1537679.14,80215,909.4
1935,48,716375.51,1490647.19,79525,507.27
1935,49,693724.29,1444601.69,78791,262.92
1935,50,670980.73,1397338.29,78013,78.71
1935,51,647757.71,1348652.38,77189,21.75
1935,52,624943.91,1300529.06,76319,21.75
1935,53,603447.93,1254985.37,75404,20.7
1935,54,583354,1212159.51,74449,13.46
1935,55,564104.98,1170759.19,73454,0
1935,56,545058.43,1129448.12,72417,NA
1935,57,525514.4,1086925.52,71332,NA
1935,58,504974.26,1042349.02,70187,NA
1935,59,483678.68,996304.79,68972,NA
1935,60,462193.86,949917.42,67675,NA
1935,61,440987.17,904148.08,66290,NA
1935,62,420336.18,859813.72,64813,NA
1935,63,400179.63,817035.91,63240,NA
1935,64,380158.77,775037.82,61569,NA
1935,65,360206.99,733415.99,59795,NA
1935,66,340439.64,692088.85,57920,NA
1935,67,320410.63,650054.25,55944,NA
1935,68,299888.52,606738.29,53870,NA
1935,69,279230.66,562896,51696,NA
1935,70,258712.92,519317.15,49426,NA
1935,71,238564.43,476665.21,47058,NA
1935,72,219378.62,436339.21,44593,NA
1935,73,201734.05,399655.93,42040,NA
1935,74,185461.15,366170.48,39413,NA
1935,75,176601.81,347139.76,36774,NA
1935,76,159360.01,312065.46,34133,NA
1935,77,142074.21,276910.24,31450,NA
1935,78,125227.4,242627.78,28752,NA
1935,79,108999.42,209750.55,26070,NA
1935,80,97203.12,183579.18,23480,NA
1935,81,82774.23,155020.2,21000,NA
1935,82,70068.36,129964.42,18596,NA
1935,83,59005.28,108291.84,16293,NA
1935,84,49425.26,89709.16,14114,NA
1935,85,41036.25,73618.88,12079,NA
1935,86,33624.1,59629.81,10202,NA
1935,87,27107.39,47530.49,8489,NA
1935,88,21462.85,37213.32,6950,NA
1935,89,16687.18,28620.14,5592,NA
1935,90,12780.06,21664.55,4425,NA
1935,91,9682.9,16223.32,3451,NA
1935,92,7254.67,12032.18,2656,NA
1935,93,5408.41,8888.15,2022,NA
1935,94,4013.31,6547.72,1529,NA
1935,95,2943.25,4780.69,1136,NA
1935,96,2154.85,3476.75,821,NA
1935,97,1594.06,2533.34,581,NA
1935,98,1185.16,1847.92,403,NA
1935,99,877.96,1351.42,274,NA
1935,100,626.58,967.82,182,NA
1935,101,441.09,676.35,119,NA
1935,102,307.15,461.65,75,NA
1935,103,204.77,305.18,47,NA
1935,104,134.33,199.11,29,NA
1935,105,86.74,126.88,17,NA
1935,106,55.63,79.84,10,NA
1935,107,34.93,49.4,6,NA
1935,108,21.16,29.71,3,NA
1935,109,12.76,17.92,2,NA
1935,110,16.26,20.1,2,NA
1936,0,957679.06,1953777.5,96082,NA
1936,1,956321.7,1938301.28,94319,NA
1936,2,990376.7,2002058.17,93754,NA
1936,3,1023386.08,2069331.47,93445,NA
1936,4,1049663.18,2122039.66,93220,NA
1936,5,1103389.41,2243787.36,93038,NA
1936,6,1118968.51,2276123.9,92885,NA
1936,7,1131897.59,2307392.8,92750,NA
1936,8,1153429.86,2354187.26,92631,NA
1936,9,1176576.8,2396159.1,92522,NA
