"Year","Cohort","x","B","PY"
1891,NA,12,0,0
1891,NA,55,0,0
1891,1835,55,0,11884.45
1891,1836,54,0,11657.39
1891,1836,55,0,11547.12
1891,1837,53,0,11263.26
1891,1837,54,0,11160.9
1891,1838,52,0,11065.69
1891,1838,53,0,10962.6
1891,1839,51,0,11482.23
1891,1839,52,0,11383.02
1891,1840,50,6.06,12461.31
1891,1840,51,0,12351.4
1891,1841,49,20.04,12148
1891,1841,50,17.67,12043.99
1891,1842,48,60.98,12900.47
1891,1842,49,25.46,12802
1891,1843,47,109.84,12713.28
1891,1843,48,80.46,12607.98
1891,1844,46,248.42,13509.18
1891,1844,47,141.39,13404.28
1891,1845,45,426.25,13019.38
1891,1845,46,297.53,12918.02
1891,1846,44,645.44,12218.33
1891,1846,45,468.84,12110.22
1891,1847,43,1003.03,12608.57
1891,1847,44,761.97,12506.84
1891,1848,42,1354.58,13445.7
1891,1848,43,1175.85,13337.74
1891,1849,41,1775.16,14518.91
1891,1849,42,1548.29,14394.37
1891,1850,40,2089.89,14135.37
1891,1850,41,1819.06,14003.91
1891,1851,39,2257.44,13926.81
1891,1851,40,2159.08,13973.56
1891,1852,38,2228.15,13108.55
1891,1852,39,2273.41,13736.89
1891,1853,37,2751.04,14595.74
1891,1853,38,2454.02,14097.13
1891,1854,36,3072.54,16014.14
1891,1854,37,3012.17,15680.24
1891,1855,35,2981.88,14822.8
1891,1855,36,2888.48,14921.65
1891,1856,34,3002.18,15154.37
1891,1856,35,3032.55,15003.5
1891,1857,33,3312.77,16164.74
1891,1857,34,3070.61,15451.51
1891,1858,32,3685.05,17443.27
1891,1858,33,3576.97,17269.23
1891,1859,31,3742.33,17780.09
1891,1859,32,3728.89,17580.66
1891,1860,30,3901.78,17654.12
1891,1860,31,3740.84,17643.11
1891,1861,29,3534.7,16430.85
1891,1861,30,3727.77,16840.3
1891,1862,28,3617.04,17720.31
1891,1862,29,3720,17545.09
1891,1863,27,3648.16,18232.9
1891,1863,28,3701.95,18344.52
1891,1864,26,3552.73,18424.3
1891,1864,27,3748.96,18928.8
1891,1865,25,3279.03,18522.21
1891,1865,26,3481.41,18462.25
1891,1866,24,2967.05,18515.52
1891,1866,25,3281.35,19152.78
1891,1867,23,2267.04,17337.4
1891,1867,24,2679.45,17628.92
1891,1868,22,1783.53,15482.54
1891,1868,23,2009.62,16224.16
1891,1869,21,1541.56,17884.63
1891,1869,22,1859.15,17380.45
1891,1870,20,1214.02,18464.99
1891,1870,21,1437.46,18327.74
1891,1871,19,761.29,20279.03
1891,1871,20,1127.07,19969.25
1891,1872,18,357.61,19981.6
1891,1872,19,596.68,19950.44
1891,1873,17,157.21,21238.35
1891,1873,18,285.27,20980.91
1891,1874,16,54.99,21502.92
1891,1874,17,114.78,21496.67
1891,1875,15,14.44,22521.77
1891,1875,16,37.98,22712.78
1891,1876,14,0.52,22862.15
1891,1876,15,6.34,23133.45
1891,1877,13,0.81,23998.3
1891,1877,14,0.47,24322.11
1891,1878,12,0,23357.58
1891,1878,13,0.18,23830.05
1891,1879,12,0,24891.78
1892,NA,12,0,0
1892,NA,55,0,0
1892,1836,55,0,11496.78
1892,1837,54,0,11114.7
1892,1837,55,0,10982.62
1892,1838,53,0,10921.59
1892,1838,54,0,10802.87
1892,1839,52,0,11340.74
1892,1839,53,0,11228.6
1892,1840,51,0.24,12305.27
1892,1840,52,0,12180.91
1892,1841,50,3.98,12000.52
1892,1841,51,0.75,11879.27
1892,1842,49,21.66,12760.32
1892,1842,50,8.88,12637.86
1892,1843,48,50.75,12568.2
1892,1843,49,29.79,12444.82
1892,1844,47,112.84,13361.18
1892,1844,48,67.97,13242.37
1892,1845,46,225.64,12880.71
1892,1845,47,136.49,12770.86
1892,1846,45,399.1,12073.34
1892,1846,46,262.13,11962.38
1892,1847,44,656.5,12468.72
1892,1847,45,488.4,12362.85
1892,1848,43,977.81,13304.45
1892,1848,44,788.03,13204.56
1892,1849,42,1378.4,14353.06
1892,1849,43,1149.42,14246.62
1892,1850,41,1578.76,13961.8
1892,1850,42,1422.61,13841.23
1892,1851,40,1867.52,13772.44
1892,1851,41,1647.69,13807.87
1892,1852,39,1975,12957.11
1892,1852,40,1932.78,13588.68
1892,1853,38,2361.67,14437.87
1892,1853,39,2184.46,13932.61
1892,1854,37,2688.47,15843.76
1892,1854,38,2577.44,15499.68
1892,1855,36,2717.18,14653.35
1892,1855,37,2553.39,14747.58
1892,1856,35,2868.7,14982.5
1892,1856,36,2797.77,14806.87
1892,1857,34,3049.93,15960.49
1892,1857,35,2929.21,15249.34
1892,1858,33,3312.22,17198.77
1892,1858,34,3258.51,17026.23
1892,1859,32,3652.33,17543.34
1892,1859,33,3390.01,17345.41
1892,1860,31,3577.47,17400.89
1892,1860,32,3655.41,17388.87
1892,1861,30,3421.35,16189.7
1892,1861,31,3412.67,16579.77
1892,1862,29,3496.36,17417.91
1892,1862,30,3630.14,17265.58
1892,1863,28,3591.75,17902.48
1892,1863,29,3584.82,18012.52
1892,1864,27,3508.47,18056.2
1892,1864,28,3706.11,18592.55
1892,1865,26,3237.92,18108.75
1892,1865,27,3440.12,18074.54
1892,1866,25,3087.47,18097.22
1892,1866,26,3275.33,18717.28
1892,1867,24,2571.64,16922.08
1892,1867,25,2857.87,17244.21
1892,1868,23,1996.73,15098.84
1892,1868,24,2301.19,15817.04
1892,1869,22,1997.94,17386.55
1892,1869,23,2133.05,16907.54
1892,1870,21,1591.48,17936.26
1892,1870,22,1902.3,17779.88
1892,1871,20,1217.27,19645.75
1892,1871,21,1542.95,19368.39
1892,1872,19,712.38,19376.56
1892,1872,20,1024.72,19310.74
1892,1873,18,374.16,20627.09
1892,1873,19,604.52,20345.55
1892,1874,17,155.53,21001.33
1892,1874,18,287.75,20913.95
1892,1875,16,43.01,22117.22
1892,1875,17,110.62,22148.38
1892,1876,15,10.16,22556.55
1892,1876,16,28.22,22707.13
1892,1877,14,1.7,23805.89
1892,1877,15,6.66,24001.71
1892,1878,13,0,23186.95
1892,1878,14,0.29,23623.26
1892,1879,12,0,24756.22
1892,1879,13,0,24700.76
1892,1880,12,0,24641.13
1893,NA,12,0,0
1893,NA,55,0,0
1893,1837,55,0,10933.78
1893,1838,54,0,10755.73
1893,1838,55,0,10648.95
1893,1839,53,0,11187.75
1893,1839,54,0,11081.4
1893,1840,52,0.29,12134.25
1893,1840,53,0,12025.92
1893,1841,51,0.42,11831.61
1893,1841,52,0.7,11720.93
1893,1842,50,5.52,12592.62
1893,1842,51,0.57,12489.29
1893,1843,49,20.17,12400.22
1893,1843,50,11.28,12294.12
1893,1844,48,51.22,13202.39
1893,1844,49,28.28,13107.39
1893,1845,47,104.6,12729.98
1893,1845,48,63.47,12637.89
1893,1846,46,205.73,11928.42
1893,1846,47,123.79,11842.15
1893,1847,45,404.1,12324.3
1893,1847,46,264.89,12231.92
1893,1848,44,652.72,13168.29
1893,1848,45,508.48,13070.48
1893,1849,43,1072.59,14207.79
1893,1849,44,794.75,14101.79
1893,1850,42,1363.19,13800.94
1893,1850,43,1155.97,13700.13
1893,1851,41,1579.24,13609.13
1893,1851,42,1441.79,13661.31
1893,1852,40,1804.09,12817.32
1893,1852,41,1648.9,13444.08
1893,1853,39,2254.21,14269.39
1893,1853,40,2039.03,13790.83
1893,1854,38,2597.05,15661.32
1893,1854,39,2481.72,15335.04
1893,1855,37,2592.24,14482.42
1893,1855,38,2464.16,14576.54
1893,1856,36,2774.85,14786.13
1893,1856,37,2675.62,14655.76
1893,1857,35,3042.46,15751.66
1893,1857,36,2860.81,15073.73
1893,1858,34,3331.72,16956.77
1893,1858,35,3270.46,16813.8
1893,1859,33,3503.37,17308.59
1893,1859,34,3394.48,17139.69
1893,1860,32,3649,17150.13
1893,1860,33,3521.42,17176.41
1893,1861,31,3341.61,15939.23
1893,1861,32,3492.46,16341.16
1893,1862,30,3613.88,17140.42
1893,1862,31,3561.57,17023.7
1893,1863,29,3687.56,17578.48
1893,1863,30,3741.14,17757.44
1893,1864,28,3519.68,17735.45
1893,1864,29,3799.96,18320.79
1893,1865,27,3442.88,17728.46
1893,1865,28,3482.37,17771.13
1893,1866,26,3283.52,17685.72
1893,1866,27,3525.56,18377.42
1893,1867,25,2753.07,16552.79
1893,1867,26,3054.13,16906.95
1893,1868,24,2295.91,14719.96
1893,1868,25,2500.94,15470.52
1893,1869,23,2346.31,16913.46
1893,1869,24,2491.43,16499.61
1893,1870,22,1962.56,17400.12
1893,1870,23,2267.01,17323.01
1893,1871,21,1635.65,19054.61
1893,1871,22,1951.75,18785.67
1893,1872,20,1189.78,18755.26
1893,1872,21,1461.98,18777.06
1893,1873,19,766,20002.45
1893,1873,20,1083.27,19743.98
1893,1874,18,369.67,20432.05
1893,1874,19,624.13,20320.62
1893,1875,17,181.7,21567.62
1893,1875,18,304.63,21581.45
1893,1876,16,53.45,22140.87
1893,1876,17,130.73,22166.39
1893,1877,15,11.17,23492.29
1893,1877,16,35.53,23577.21
1893,1878,14,0.84,22985.74
1893,1878,15,5.64,23335.89
1893,1879,13,0,24566.24
1893,1879,14,0.15,24498.71
1893,1880,12,0,23457.87
1893,1880,13,0,24467.97
1893,1881,12,0,24051.26
1894,NA,12,0,0
1894,NA,55,0,0
1894,1838,55,0,10604.12
1894,1839,54,0,11036.35
1894,1839,55,0,10945.95
1894,1840,53,0,11980.66
1894,1840,54,0,11893.85
1894,1841,52,0,11674.96
1894,1841,53,0,11581.5
1894,1842,51,0,12445.76
1894,1842,52,0,12361.46
1894,1843,50,4.9,12253.33
1894,1843,51,0,12179.09
1894,1844,49,23.68,13066.7
1894,1844,50,15.87,12994.67
1894,1845,48,46.03,12601.29
1894,1845,49,27.76,12530.54
1894,1846,47,101.31,11809.53
1894,1846,48,54.85,11742.8
1894,1847,46,195.89,12197.74
1894,1847,47,134.08,12136.36
1894,1848,45,431.13,13032.55
1894,1848,46,257.09,12962.07
1894,1849,44,754.39,14064.16
1894,1849,45,565.82,13991.06
1894,1850,43,1011.3,13661.44
1894,1850,44,824.13,13583.83
1894,1851,42,1310.81,13464.69
1894,1851,43,1101.29,13556.06
1894,1852,41,1494.6,12680.92
1894,1852,42,1399.16,13337.04
1894,1853,40,2062.52,14124.17
1894,1853,41,1718.8,13690.05
1894,1854,39,2394.16,15494.96
1894,1854,40,2318.93,15220.14
1894,1855,38,2411.64,14314.46
1894,1855,39,2279.06,14456.47
1894,1856,37,2580.4,14635.24
1894,1856,38,2504.89,14557.69
1894,1857,36,2841.04,15570.27
1894,1857,37,2671.42,14974.37
1894,1858,35,3136.22,16745.2
1894,1858,36,3073.43,16682.53
1894,1859,34,3353.5,17103.31
1894,1859,35,3227.27,17028.07
1894,1860,33,3449.01,16940.59
1894,1860,34,3392.75,17072.19
1894,1861,32,3276.68,15709.84
1894,1861,33,3335.82,16240.21
1894,1862,31,3418.51,16900.3
1894,1862,32,3519.02,16903.77
1894,1863,30,3640.85,17329.56
1894,1863,31,3570.06,17621.81
1894,1864,29,3622.69,17476.21
1894,1864,30,3832.35,18189.77
1894,1865,28,3444.9,17430.87
1894,1865,29,3617.1,17657.55
1894,1866,27,3302.36,17364.58
1894,1866,28,3553.56,18244.76
1894,1867,26,2920.51,16229.05
1894,1867,27,3141.24,16779.9
1894,1868,25,2460.89,14397.48
1894,1868,26,2714.06,15353.46
1894,1869,24,2636.13,16505.39
1894,1869,25,2741.48,16372.63
1894,1870,23,2412.67,16952.99
1894,1870,24,2650.3,17155.21
1894,1871,22,2119.52,18481.33
1894,1871,23,2491.99,18583.02
1894,1872,21,1600.5,18236.94
1894,1872,22,1958.3,18567.04
1894,1873,20,1164.05,19411.02
1894,1873,21,1528.82,19490.34
1894,1874,19,760.23,19852.38
1894,1874,20,1045.47,20066.69
1894,1875,18,412.28,21015.55
1894,1875,19,670.91,21298.74
1894,1876,17,161.31,21613.61
1894,1876,18,322.57,21886.4
1894,1877,16,40.47,23076.79
1894,1877,17,115.63,23295.21
1894,1878,15,8.47,22706.11
