Parity,UR,Education,W
4,2,1,.2711989
8,2,1,.042755201
5,2,1,1.2126919
7,2,1,.96132928
5,2,1,.5923323
2,2,1,.96103299
2,2,3,1.8253505
9,2,1,.45448315
2,1,3,.27983913
9,2,1,1.4247559
8,2,1,.21627083
6,2,1,2.3271358
4,2,1,1.0315907
6,2,1,.47330952
5,2,1,2.9659343
8,2,1,.39549792
4,2,1,.13399594
9,2,1,.74165976
3,2,3,.90819234
8,2,2,1.8559628
0,2,3,1.7879685
6,2,1,.9587521
9,2,1,1.3483753
7,2,1,.28333166
9,2,2,.26410171
7,1,1,.13335161
9,2,1,.23197889
7,2,1,.42531151
8,2,1,.41337463
3,2,1,.2126222
3,2,1,.60800046
10,2,1,.92291254
1,2,2,2.1565075
8,2,1,.76720524
9,2,1,.5344305
5,1,1,2.6012151
6,2,1,.76941949
6,2,1,.47101295
3,2,1,.44842312
4,2,1,.78022283
8,2,1,1.398797
8,2,1,2.2905085
7,2,1,1.0348202
6,1,1,.25938797
3,2,1,.91715956
2,1,3,1.7923859
6,2,1,.64272934
8,2,1,.90045661
4,2,1,2.1634412
6,2,1,.53865045
2,1,3,3.6382208
2,2,2,1.2192112
7,2,1,.2939299
5,2,1,1.0132591
7,2,1,.73712689
4,2,1,4.2195501
11,1,2,.35385936
4,2,1,1.3094063
6,2,1,2.3710768
5,2,2,.41872042
6,2,1,.26410171
5,2,2,.24122348
5,1,1,1.9433882
4,1,1,.35385936
6,1,2,1.9757886
10,2,1,.74648923
4,2,1,.11363692
4,2,2,2.2905085
7,2,2,.57094544
10,2,1,.47266206
0,2,1,1.3494571
6,1,1,5.4482026
10,2,1,1.0504138
5,2,1,.69843572
3,1,1,.13291243
4,2,3,.52567136
6,2,2,1.4318272
5,1,2,.9992485
7,2,1,.86833942
7,1,1,.47474822
2,1,2,.22983477
7,2,1,.53236544
10,2,1,1.2806582
9,2,1,.70073634
3,2,1,2.3161933
6,2,1,.66217732
4,1,3,1.007077
9,2,1,1.1819224
5,2,1,1.7417929
8,2,1,1.7524872
7,2,1,.60561442
1,2,1,.30829045
9,2,1,.74088502
7,2,1,.49396288
5,1,1,1.0827546
3,2,1,.46195301
4,2,1,1.5105332
8,2,1,.96691579
4,2,1,.31817171
7,2,1,.81312323
8,2,1,1.6144143
4,2,1,.55178136
8,2,1,4.4292068
8,2,1,.64020026
2,2,3,.95590216
5,2,1,3.1320026
4,2,1,1.2665409
7,2,1,.31068346
3,2,1,1.9307421
6,2,2,.12691963
2,1,3,.10668556
7,2,1,.40354112
7,2,1,1.6466823
0,2,1,.41337463
5,1,3,2.3929057
7,2,1,.49044946
6,2,2,.24404313
6,2,1,1.6778224
9,2,2,1.7276063
6,2,1,.87720615
5,2,2,.025073731
8,2,1,.16265067
6,2,1,.79413188
3,2,1,.89540184
2,1,3,.063459314
9,2,1,.23053528
5,2,1,.47330952
7,1,1,5.3884544
3,2,1,1.7879685
6,2,1,1.9365314
3,2,2,.028517075
7,2,1,.83234763
6,2,1,.395069
7,2,1,.70174611
7,2,1,.029442297
4,1,1,.49300599
4,2,1,.50607657
2,2,1,1.049587
7,2,2,.52402502
2,2,3,1.6991256
10,2,1,.14572264
2,2,1,1.074522
7,2,1,.30829045
11,2,1,.72713482
4,2,1,.44842312
4,1,3,.21615951
5,2,1,.31931692
9,2,1,1.0237832
2,2,1,.76295114
5,2,1,.4562192
7,2,1,1.1771953
6,1,1,1.007077
13,2,1,.50097227
7,2,1,1.3924582
5,2,1,1.240099
2,2,1,.94942123
7,2,1,1.021389
6,2,1,.3826603
5,2,2,.52222103
11,2,1,.7411195
9,2,1,.58464354
5,2,1,1.0407046
6,2,1,.62513077
5,2,2,.83956313
7,2,1,.58904415
7,2,1,1.1771953
8,2,1,.21124688
5,1,1,1.647779
8,2,1,.60800046
5,2,1,.55800736
4,2,1,.89638489
8,2,1,.29381087
5,2,2,1.5134331
6,2,1,1.2984771
7,1,2,.44465056
4,2,1,.39294159
0,2,1,2.1565075
6,2,1,.57133102
4,2,1,.32275122
4,2,1,.94321978
4,2,2,.30209628
4,2,1,2.6140437
9,2,1,1.9555703
8,2,1,.99651575
5,2,2,.81225204
7,2,1,3.4515879
6,2,1,.30829045
7,2,1,1.8273723
3,2,1,.41275373
5,2,2,1.0790278
2,2,1,.4599652
6,2,1,.73712689
4,2,2,.23571597
6,2,1,1.4008706
4,2,2,.47770649
9,2,1,1.5329911
2,2,1,1.3401307
6,2,1,2.0166357
5,2,1,.33560139
4,2,2,.54074568
7,2,2,1.3634403
6,2,2,1.7417929
1,2,1,.79214245
6,2,1,.15938601
8,2,1,1.6782615
8,2,1,.95309311
8,2,1,.42057869
7,2,1,1.3694502
5,2,1,.35790223
4,2,1,.31794685
8,2,1,.81957662
8,2,1,.31565648
8,2,1,.43367884
9,2,1,.92291254
2,2,2,1.7017714
7,2,2,.2046348
4,2,2,.33884799
8,2,1,1.1109004
6,1,1,.92974973
9,2,1,.57959878
2,2,1,.71515733
9,2,1,1.7283098
1,1,2,1.3181121
7,2,1,.88464421
6,2,1,1.3117492
9,2,1,.58904415
2,1,3,.26419047
2,2,3,.46804675
3,1,3,.13614342
5,2,1,1.1325669
5,1,1,.41667095
8,2,1,.15616859
6,2,1,.33463395
8,2,1,1.1051263
6,2,1,.24825723
5,1,2,.15377255
10,2,1,.57864398
7,2,1,.98503482
5,2,1,.2204078
2,2,2,.80093008
3,1,3,1.9757886
8,2,1,.34789103
4,2,1,.15763813
4,2,2,.33221436
6,2,1,.47597134
3,2,2,.14797123
0,2,3,1.6719726
0,2,1,.81078809
1,2,1,1.2876687
8,2,2,.3358115
7,1,1,.37693751
5,2,1,1.2136397
11,2,1,.88105398
7,2,1,.72200537
6,1,1,.090482704
7,2,1,1.2071607
4,1,3,.91019005
6,2,1,.3461549
9,1,1,5.3407602
7,2,1,1.0097172
8,2,1,1.1085752
8,2,1,.66197592
6,2,1,1.1829244
7,2,1,.52402502
2,2,1,1.4723855
6,2,1,.84083796
1,2,1,.51556826
7,2,1,.78201973
8,2,1,.47266206
6,2,1,.86217445
10,2,1,1.0991271
4,2,1,.33967873
4,2,1,.23206416
5,2,1,1.348152
4,2,1,1.7524872
4,2,1,1.2030253
4,2,2,2.1634412
6,2,1,1.2806582
5,2,2,.028517075
7,2,1,1.1029195
6,2,2,.65376246
9,2,1,1.4534711
6,2,1,.94156593
7,2,1,.7769897
2,2,2,.28487894
9,2,2,.33884799
3,2,2,.80332464
8,1,1,1.6132506
8,2,1,.29078892
5,2,1,1.7653685
3,1,2,.069571912
6,2,1,1.0399457
8,2,1,1.0208488
6,2,1,.7694959
5,2,2,.47430086
8,2,1,.76720524
10,2,1,.81282252
5,2,1,.65175885
8,2,1,1.1051263
7,2,1,.31890011
5,2,1,.24184042
8,2,1,.37571549
6,2,3,.030382358
4,2,1,1.4197941
2,1,3,1.7514656
4,1,3,.27983913
7,2,1,.91104621
6,2,1,.30209628
6,2,1,.030607499
7,1,1,.43832031
5,2,1,3.5079999
6,2,1,4.7609825
2,2,1,1.8653618
10,1,1,.86278915
6,2,1,1.274766
8,2,1,.95850736
6,2,1,.56428003
7,2,1,.65561843
3,2,1,.35232019
10,2,2,.98877716
5,2,1,.56075293
9,2,1,.74088502
7,2,1,1.049587
5,2,1,.33463395
2,1,3,.44055977
8,1,1,.2350084
3,1,2,.5610522
6,2,1,1.7629166
6,2,2,.38036168
7,2,2,.53236544
5,2,1,1.5187656
8,2,1,.6435402
8,2,2,.58386427
3,1,3,1.5781298
2,2,3,.21124688
7,2,1,.52402502
2,2,3,.62513077
3,2,1,2.0166357
7,2,1,1.6719726
3,1,1,.079637609
2,2,3,.2126222
7,2,1,.21439348
6,2,2,.16440126
5,2,2,.4562192
5,2,1,1.6849844
6,2,1,1.0371538
5,2,1,2.5305691
5,2,1,3.5079999
7,2,1,.67140538
6,2,1,.77991664
5,1,2,5.3884544
4,2,1,1.1829244
3,1,1,.2350084
4,2,1,1.5872116
4,2,2,.15938601
3,1,1,3.2049725
9,1,1,1.63632
10,2,1,3.1540179
9,2,1,1.1594867
7,2,1,1.5329911
6,2,2,.5676499
0,2,3,2.4763019
13,2,1,.49836951
4,2,1,.66392052
2,2,1,.90819234
5,2,1,.13399594
4,2,3,.30829045
10,2,1,1.9307421
7,1,1,.9992485
2,2,3,.33221436
0,2,1,.95850736
5,2,1,.2306526
8,2,1,.7769897
7,2,2,.91736847
6,1,2,.17262959
6,2,1,.95004582
7,2,1,1.6853372
6,2,2,.24251576
7,2,1,1.1226878
9,2,1,.70816541
4,2,1,.35116377
6,1,1,5.8717422
3,2,1,1.2665409
3,2,1,.72132891
1,1,3,1.7489901
7,2,2,.37270391
6,2,1,.67625535
6,2,1,1.0208488
8,2,2,.14797123
7,2,1,.80208385
1,2,3,.032419361
7,2,1,.64925414
7,2,1,.89834923
7,2,1,1.001999
7,2,1,2.083571
8,2,1,.7933858
7,2,1,1.4203552
5,2,1,.029442297
9,2,1,.47430086
7,2,1,.77224821
9,2,1,.98503482
9,2,1,1.2135087
4,2,1,1.0202515
8,2,1,1.0253747
5,2,1,1.0226356
7,2,1,1.6968986
8,2,1,.82917249
3,2,2,.35116377
5,1,3,3.4950733
6,2,1,.5344305
4,1,1,.73668009
4,2,1,.80222595
8,2,1,.26762706
4,2,1,.42057869
6,2,2,3.1320026
3,1,3,1.6132506
4,2,1,.50607657
7,2,1,.24937104
6,2,2,.21627083
2,1,1,.21644568
3,2,1,.57878876
4,2,1,.44842312
4,2,1,1.5937238
12,2,1,.16125485
8,2,1,.36482957
8,2,1,.49737495
6,2,1,.025073731
9,2,1,.94156593
8,2,1,1.136024
3,1,1,.017408326
6,2,1,.43525565
9,2,1,.42057869
7,2,1,2.1565075
5,2,2,.24251576
3,2,1,.11018798
7,2,1,.11018798
7,2,1,1.5132101
8,2,1,.70174611
5,2,1,.56232321
6,2,1,1.2182285
10,2,1,1.2781857
5,2,2,1.3993274
4,2,1,1.4247559
9,2,1,.56082606
7,2,1,1.4197941
5,2,2,.13585001
10,2,1,1.2873948
2,2,1,.25680754
5,2,1,.69805187
3,2,1,.63536656
5,1,2,.26811847
8,2,1,.56232321
6,2,1,.41337463
6,2,2,1.2984771
3,2,1,.53836691
10,2,1,1.4723855
7,2,1,.96132928
4,2,1,.4466866
6,2,1,.30737075
2,2,1,.4405241
7,2,2,4.7609825
3,1,3,.85314107
3,2,1,.45202088
8,2,1,1.4595771
8,2,1,1.4768488
6,2,1,1.3924582
5,2,2,.34789103
9,2,1,.11363692
2,2,1,1.5154083
4,2,1,2.3161933
6,2,2,1.6853372
12,2,1,1.1973433
3,2,1,2.1512239
10,2,1,.19269614
1,2,1,.57878876
2,2,1,.14572264
8,1,1,.079637609
8,2,1,.60561442
7,2,1,.59507263
6,2,1,1.5920244
6,2,1,.46804675
5,1,1,2.8226519
5,2,1,.96103299
5,2,1,.5080632
3,2,1,1.9623547
7,2,1,.45448315
6,1,1,.9992485
4,1,3,.13335161
8,2,1,1.2549225
1,2,1,1.1978536
4,2,1,1.3281032
7,2,1,.4189491
12,2,1,1.1429251
5,2,2,.99873364
6,2,1,1.6968986
4,2,1,1.116755
8,2,1,2.6255889
7,2,1,1.7417929
10,2,1,.33884799
11,2,1,1.0865945
5,1,1,.15377255
3,2,1,2.100682
4,2,1,.49449697
6,2,1,.28465551
7,2,1,1.8273723
4,2,1,3.497493
3,2,1,.79413188
6,2,1,1.1085752
6,1,1,4.8255324
6,2,1,.022692636
5,2,1,.22786728
7,2,1,.19514048
7,2,1,.57306397
6,2,1,.4466866
6,2,1,.29381087
5,2,2,2.5396662
6,2,1,4.2631388
7,1,1,1.63632
6,2,2,.22786728
6,2,1,.99190634
6,2,2,.30209628
6,2,1,.75022602
4,2,1,1.6782615
5,2,1,.95004582
5,2,2,.19167152
9,2,1,1.0991271
7,2,1,.30794919
7,2,2,.13666753
5,2,2,.35790223
4,2,1,1.5408932
5,2,1,.3826603
6,2,1,1.9319406
6,2,2,.616234
6,2,1,1.1483475
4,2,1,.39203772
8,2,1,.49836951
8,2,1,1.038729
5,2,1,.55610108
1,2,1,3.3200948
10,2,1,.030382067
8,2,1,.18351564
10,2,1,.79610324
4,2,3,.93741822
6,2,1,.24992932
4,2,1,.90155017
6,2,1,.95138329
6,2,2,.68327814
4,2,1,.6375286
7,2,1,1.9365314
6,2,2,1.3706845
5,2,2,1.2126919
8,2,1,1.7436388
6,2,1,.57878876
6,2,1,.31150228
5,2,1,1.6311543
2,2,1,.7288214
3,2,3,2.3271358
7,2,1,4.7609825
3,2,3,.29908028
5,2,1,.67692405
5,2,1,.54074568
6,2,1,.57985353
6,2,1,1.5154083
4,2,1,.43502757
8,2,1,.55178136
4,2,1,2.6140437
4,2,1,2.4763019
5,1,1,3.4950733
4,2,1,1.0334755
7,2,1,1.5920244
8,2,1,.31068346
2,1,3,1.7923859
6,2,1,.95309311
8,2,1,.92291254
6,2,1,.73944211
8,2,1,.49657279
6,2,1,1.6547469
4,2,1,.83234763
5,2,2,.2126222
3,2,1,2.3161933
8,2,1,.75763702
8,2,1,1.4486721
10,2,1,3.4074657
8,2,1,.55800736
6,2,1,3.3200948
5,2,1,1.5145235
5,2,1,.67326236
8,2,2,.31931692
8,2,1,1.0913377
7,2,1,.39294159
6,1,1,.069571912
2,2,1,1.7879685
6,2,1,.95850736
1,2,1,.37302449
4,2,1,1.5815901
8,2,1,1.2086185
2,1,3,.93972051
6,2,1,1.7129409
7,2,1,1.6968102
6,2,2,.68954939
10,2,2,.73698974
7,1,1,.27983913
5,1,1,.14796896
3,2,3,.029442297
6,2,1,.2711989
7,2,1,.33967873
3,2,1,.80965054
8,2,1,.31818429
4,2,1,.98877716
3,2,1,1.0553054
6,2,2,.7933858
8,2,2,1.0059814
3,1,3,1.7514656
7,1,2,.18949468
3,2,2,1.116755
4,2,1,.26002908
6,2,1,4.2195501
10,2,1,.94942123
8,2,1,.50607657
11,2,1,.80208385
7,2,1,1.1366823
4,2,1,.57133102
9,2,1,1.4318272
4,2,1,.58161348
5,2,1,1.0407046
6,2,1,1.3993274
10,2,1,.7933858
5,2,2,.7288214
7,2,2,1.3694502
6,2,1,.63005042
8,2,1,.60322392
5,2,2,.18351564
7,2,1,.89540184
2,2,1,1.1773779
6,2,1,1.5204629
4,2,2,1.0281433
0,1,3,.99287981
4,2,1,1.8653618
5,2,1,.43096474
1,2,1,1.0440563
8,2,2,2.2905085
10,2,1,.40634817
8,2,1,.69110465
3,2,3,.22289351
8,2,1,5.3442583
5,2,2,.65664929
5,2,1,.7288214
8,2,1,3.4074657
4,2,1,.59830254
7,2,1,.51305062
10,2,1,.75763702
6,2,2,1.1960156
6,2,1,.1803333
3,2,1,.76144648
3,1,2,1.1301349
8,1,1,.53934556
8,2,1,.53236544
4,2,1,.026964271
6,2,1,.35703111
7,2,1,2.9524372
8,2,1,.60322392
5,2,2,2.0408216
0,2,1,1.9813049
9,2,1,2.6140437
7,2,1,1.0661466
7,2,1,1.6433438
7,2,1,.45746791
7,2,1,.39294159
3,2,1,1.0281433
4,2,1,.83266413
7,2,1,.55610108
5,2,1,.33288687
7,2,2,1.049587
8,2,1,1.8772604
8,2,1,1.8129276
